Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband,public_recycling_points,litter
S01010257,Gallowgate North and Bellgrove,Glasgow City,1732,1633,2267,33,7,4,2,3565,3537,2205,1066,1795,1275,5,9%,161,8%,123,115,372,619,136,10%,13%,128,43%,*,137,19%,20%,76,441,422,51,55%,7%,4.931222222,4.134657407,3.160231481,5.001712329,4.523925926,5.586129032,7.821219136,6.170407407,8.030237654,1%,2,5
S01010258,Gallowgate North and Bellgrove,Glasgow City,1826,1770,6150,89,18,9,5,6964,6966,6976,6398,1404,5135,6,0%,7,0%,5,5,25,7,48,3%,0%,29,*,*,26,0%,82%,18,99,361,84,50%,12%,5.0481633,4.329732323,2.866126263,5.03578125,4.642099327,5.892407407,9.89202862,7.191956229,10.3021633,14%,2,4
S01010259,City Centre East,Glasgow City,1401,1182,1740,25,5,3,2,1794,1970,1824,1840,2128,2914,110,18%,247,13%,150,135,240,204,153,14%,12%,134,77%,5.46,206,0%,6%,33,237,204,102,27%,13%,4.426014578,3.797905831,3.674690701,2.506544715,4.691954295,4.773037975,9.006908983,7.996288416,11.80972419,1%,6,4
S01010260,City Centre East,Glasgow City,2544,2361,3550,51,11,6,3,4327,4694,4866,3172,1689,579,60,7%,174,5%,114,75,117,87,123,7%,0%,74,80%,5.83,95,3%,4%,167,656,353,103,35%,10%,4.881130539,3.83022157,3.038756006,3.775737179,4.359747731,5.14371134,9.285667379,8.057680192,10.49024826,17%,4,9
S01010261,City Centre East,Glasgow City,2269,2014,3373,49,10,5,3,3473,4436,3390,3967,1349,2779,71,10%,220,5%,108,120,109,83,116,10%,11%,93,91%,5.39,146,3%,17%,56,248,276,121,30%,13%,4.680539984,4.70128479,3.014877499,2.248175355,4.989263034,4.984575758,12.72524794,9.440415523,12.86333007,40%,6,13
S01010262,City Centre East,Glasgow City,868,576,275,4,1,1,1,230,308,182,3229,3160,22,173,34%,296,24%,139,235,321,254,262,25%,11%,160,89%,6.24,196,5%,6%,223,2570,210,104,25%,12%,3.69454142,3.414366864,3.521692308,1.716243094,4.407911243,4.567236025,8.778902367,8.174390533,9.780775148,0%,9,4
S01010263,City Centre East,Glasgow City,713,651,4482,65,13,7,4,5432,5827,5868,3966,2031,464,17,4%,29,3%,19,50,88,54,107,9%,7%,60,*,*,54,0%,3%,52,733,265,82,41%,13%,5.199054054,4.117739865,1.934057432,5.3764,4.051682432,5.995434783,9.432810811,4.724591216,9.127831081,3%,0,1
S01010264,City Centre East,Glasgow City,913,836,1249,18,4,2,1,2696,2422,3178,72,2196,20,85,13%,118,11%,92,115,117,149,131,14%,0%,83,*,*,102,33%,2%,253,2773,264,61,35%,8%,5.438988457,3.897943499,1.789969623,4.643958333,4.093001215,5.7315,9.396099635,3.564067436,8.685647023,16%,2,2
S01010265,City Centre East,Glasgow City,1107,1038,5538,80,16,8,4,6951,6962,6971,6715,2535,137,21,1%,7,0%,5,5,50,10,68,6%,0%,47,*,6.2,18,0%,29%,130,1171,391,59,45%,7%,6.430435934,3.226144027,1.986290944,6.935961538,2.967545761,6.94675,6.500833333,3.066695568,5.604867534,10%,0,5
S01010266,City Centre West,Glasgow City,669,555,3668,53,11,6,3,4246,5920,5572,1508,5309,93,153,7%,47,3%,16,65,43,0,41,10%,4%,79,72%,4.89,88,8%,3%,91,1367,177,22,34%,4%,2.295788288,2.735067568,2.399986486,1.063282209,2.863274775,1.815875,8.075099099,6.393765766,9.062666667,11%,0,6
