Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_Age_population,SIMD2020v2_Rank,SIMD_2020v2_Percentile,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,income_rate,income_count,employment_rate,employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,crime_count,crime_rate,overcrowded_count,nocentralheating_count,overcrowded_rate,nocentralheating_rate,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,broadband,public_recycling_points,litter
S01009758,Darnley East,Glasgow City,624,407,4997,72,15,8,4,5861.5,4396,3273,4903,3216,5523,1021,3%,20,5%,22,85,42,24,176,22%,11%,89,86%,6.05,100,0%,12%,5,81,73,43,13%,8%,2.040748328,3.084703177,2.788879599,4.274135802,3.131551003,4.541445783,11.63111204,10.2506689,10.39843227,0%,0,6
S01009759,Darnley East,Glasgow City,860,570,161,3,1,1,1,23,168,255,1291,6001,791,494,45%,387,27%,153,240,281,236,167,26%,7%,142,75%,5.38,202,9%,9%,48,561,223,29,24%,3%,3.578367238,1.55241167,1.743391328,2.308575758,2.96126606,5.923537234,4.641284797,5.09006424,6.609694861,0%,0,31
S01009760,Darnley East,Glasgow City,852,550,998,15,3,2,1,1083,971,881,715,5706,2079,1157,23%,194,18%,96,195,80,120,142,27%,5%,119,74%,4.82,205,9%,7%,27,318,173,8,19%,1%,2.469767637,1.820699888,1.790475924,2.941404255,3.057891937,5.061041667,6.407102464,6.119720045,7.519862822,0%,0,14
S01009761,Darnley East,Glasgow City,846,558,3135,45,9,5,3,2784,3348,2782,2530,3720,5459,1878,13%,106,8%,45,120,17,50,117,23%,8%,102,75%,5.69,147,7%,15%,7,83,122,24,13%,3%,2.504126374,2.703337912,2.485582418,3.777760736,3.348901099,5.016263736,9.419197802,8.381563187,10.10543956,0%,0,8
S01009762,Darnley East,Glasgow City,1183,801,1247,18,4,2,1,830,1946,1499,547,6870,1904,870,25%,299,13%,102,165,165,80,121,24%,9%,98,65%,5.33,219,3%,4%,40,340,201,6,22%,1%,2.618941685,0.971444384,0.879530238,2.058761062,3.241455184,4.971113861,3.151403888,2.78200324,7.058887689,0%,1,34
S01009763,Darnley East,Glasgow City,783,551,5598,81,17,9,5,5008,5428,6391,5511,1888,6138,3538,5%,39,4%,20,50,10,0,23,13%,7%,59,85%,6.06,71,0%,19%,4,51,72,9,9%,1%,2.588581606,3.650365933,3.521599741,3.663134328,3.67869171,4.498322148,14.56610751,12.79556671,12.61610751,0%,0,1
S01009764,Darnley North,Glasgow City,688,476,892,13,3,2,1,577,983.5,821,1752,4219,1930,1315,28%,192,18%,84,190,187,201,143,24%,8%,118,75%,5.62,197,4%,9%,23,336,123,7,18%,1%,1.50194362,3.868757418,3.763642433,2.295120482,2.227347923,6.536657143,9.520178042,8.668976261,8.172603858,0%,1,9
S01009765,Darnley North,Glasgow City,996,639,2403,35,7,4,2,2062,2833,1432,3476,3354,4535,993,16%,160,10%,61,135,255,28,155,24%,7%,136,80%,5.93,159,2%,18%,13,131,191,17,20%,2%,1.890080962,3.766781158,3.880819431,2.002591241,2.614465162,6.898061594,11.22690137,10.43245339,9.890858685,0%,1,6
S01009766,Darnley North,Glasgow City,515,379,4042,58,12,6,3,4678,4387,3244,3946,1910,2479,1205,6%,30,5%,21,95,81,53,89,21%,0%,94,80%,5.78,118,1%,20%,14,273,89,23,16%,4%,2.687717584,3.811301066,3.673592362,4.12,3.740217584,4.938333333,11.59982238,13.01732238,9.645586146,0%,0,6
S01009767,Darnley North,Glasgow City,1099,738,1962,29,6,3,2,2348,2635,1183,2135,2977,443,1486,14%,159,10%,75,165,120,113,314,25%,3%,102,78%,5.5,212,2%,17%,82,750,89,3,17%,1%,1.706606822,4.038833034,3.13040395,2.365391304,2.607621185,6.368563218,12.23968133,10.60695242,10.36834381,1%,0,7
S01009768,Darnley West,Glasgow City,755,519,1468,22,5,3,2,1279,1297,1604,1909,3631,3817,768,21%,160,16%,82,170,129,104,137,19%,5%,102,79%,5.38,179,8%,11%,13,173,137,6,22%,1%,2.542758197,3.068319672,2.518819672,4.23689243,3.028172131,4.270053763,10.44887295,8.23377459,9.99307377,0%,1,5
S01009769,Darnley West,Glasgow City,1152,732,4266,62,13,7,4,4126,5229,3061,4159,2097,3011,2250,7%,85,4%,28,90,51,12,238,19%,0%,115,84%,5.77,90,4%,16%,26,227,77,12,13%,2%,2.952776596,3.696875887,3.701939716,4.474521531,3.864429078,4.567759197,10.21087234,11.22894681,8.996765957,1%,0,4
S01009770,Darnley West,Glasgow City,664,478,4227,61,13,7,4,4071,4267,3801,4186,2175,4995,1706,8%,50,6%,27,90,59,0,80,18%,13%,94,80%,6.17,116,1%,12%,7,106,117,3,16%,0%,2.282640647,4.753291139,3.974866385,3.082884615,2.138966245,7.076388889,16.28119198,13.15451477,8.182243319,0%,0,6
S01009771,Darnley West,Glasgow City,846,613,4400,64,13,7,4,3593,4696,3791,4507,2225,6219,3764,9%,78,5%,29,100,31,17,90,17%,7%,86,81%,5.94,104,0%,17%,4,48,86,1,10%,0%,2.158538851,4.615692568,4.153048986,3.334328704,1.568935811,7.195211268,16.05557432,13.25584459,8.051570946,18%,0,2
S01009772,Darnley West,Glasgow City,723,450,4638,67,14,7,4,4684,4430,5055,4171,1822,6055,973,6%,42,5%,24,45,71,42,46,20%,9%,87,86%,5.81,113,1%,13%,4,56,104,33,16%,5%,3.269826772,3.494102362,3.765200787,4.750136054,4.157015748,4.621716418,11.5526063,12.9701063,11.1052126,0%,0,1
S01009773,Darnley West,Glasgow City,730,499,4777,69,14,7,4,3715,5190,5456,3719,2342,6608,3595,9%,64,4%,20,85,6,0,36,11%,5%,75,79%,5.73,107,4%,20%,*,*,62,3,10%,0%,3.320751192,3.046732909,3.364411765,4.864360465,3.825540541,4.187826087,10.32000795,11.73750795,11.35500795,0%,0,4
S01009774,Darnley West,Glasgow City,628,400,4367,63,13,7,4,3631,4908,4942,4564,1093,6204,4301,9%,57,4%,18,80,31,0,68,10%,4%,92,87%,5.64,101,2%,21%,3,48,38,10,7%,2%,4.054156306,3.77875222,4.098259325,5.433913793,4.56089254,4.855240642,14.87123446,16.28873446,15.90623446,0%,0,3
S01009775,Nitshill,Glasgow City,773,473,126,2,1,1,1,155,217,19,485,5151,83,471,36%,281,26%,120,275,313,486,123,36%,8%,207,74%,4.92,255,7%,6%,115,1482,210,10,26%,1%,2.50146197,1.357057357,2.34763404,3.029041096,4.565741895,4.442927632,4.840486284,7.94138404,14.24486284,0%,1,9
S01009776,Nitshill,Glasgow City,652,409,109,2,1,1,1,77,137,176,482,2939,810,519,40%,261,28%,115,245,402,264,396,26%,4%,134,69%,5.06,256,8%,10%,36,555,169,7,26%,1%,3.192472222,4.196597222,1.967545139,2.938865132,3.677805556,5.99887574,11.87727083,5.552395833,12.93790625,0%,0,20
S01009777,Nitshill,Glasgow City,483,331,422,7,2,1,1,331,399,784,826,4055,927,162,31%,151,23%,76,180,253,374,190,21%,11%,126,72%,5.08,203,6%,6%,25,520,115,67,24%,14%,3.11656639,2.456763485,2.186685685,2.080203252,3.688635892,5.483928571,8.914076763,7.808112033,13.15671162,0%,2,38
S01009778,Nitshill,Glasgow City,809,466,231,4,1,1,1,181,276,186,429,4777,2379,614,36%,288,25%,115,230,210,307,163,29%,3%,170,66%,5.42,227,13%,4%,23,286,202,6,25%,1%,2.703941606,2.973902068,1.661675791,1.930307263,3.188780414,5.79693038,9.791091849,5.210930657,10.88146898,0%,9,24
S01009779,Nitshill,Glasgow City,625,374,350,6,2,1,1,235,1165,187,170,4928,700,688,34%,212,17%,61,225,491,402,149,27%,14%,158,59%,5.33,230,5%,2%,37,595,124,10,23%,2%,2.386494614,3.542921903,1.243218133,2.507697368,2.874708259,5.830465116,9.974201077,4.126247756,11.2079982,0%,2,15
S01009780,Nitshill,Glasgow City,695,487,74,2,1,1,1,132,200,83,15,2474,833,790,37%,259,26%,126,280,215,303,110,26%,17%,182,61%,4.28,276,5%,1%,38,549,141,0,23%,0%,3.798980263,2.687146382,2.92589227,3.010546559,4.604847862,5.727568493,9.772565789,9.168429276,13.97389803,0%,0,22
S01009781,Nitshill,Glasgow City,583,360,570,9,2,1,1,390,887,532,554,4597,1624,1273,31%,178,18%,65,205,102,113,133,29%,20%,137,71%,5.25,245,7%,6%,22,379,103,4,19%,1%,3.094365876,1.983106752,2.283964416,2.373722222,3.978366788,4.986968504,7.073106752,6.944142336,12.45344891,0%,0,5
S01009782,Nitshill,Glasgow City,754,523,1496,22,5,3,2,1770,1971,1603,848,2223,1954,851,18%,134,13%,67,165,68,51,158,21%,4%,116,71%,5.07,153,8%,2%,25,333,124,2,22%,0%,3.967868705,3.194847122,3.022185252,3.336301887,4.542616906,6.388461538,9.46352518,7.804658273,12.67147482,0%,0,21
S01009783,Nitshill,Glasgow City,689,487,299,5,1,1,1,308,368,178,452,2660,4814,423,32%,219,23%,113,235,258,182,193,26%,18%,175,73%,4.86,251,7%,6%,8,117,203,7,27%,1%,3.68821525,3.280769231,2.746602564,2.893214286,4.213046559,6.177992701,9.51488529,7.238272605,12.31481107,0%,0,17
S01009784,Crookston South,Glasgow City,715,476,232,4,1,1,1,164,512,139,306,2479,2034,962.5,36%,258,22%,102,260,167,330,136,28%,10%,165,66%,5.18,235,5%,3%,23,323,153,9,20%,1%,3.738948413,2.842337963,2.877242063,2.619038462,4.610218254,5.521921182,10.21999669,9.489332011,15.46041005,0%,0,27
S01009785,Crookston South,Glasgow City,778,517,444,7,2,1,1,394,621,254,504,4526,1740,1652,30%,237,20%,104,250,203,246,117,30%,9%,130,70%,5.16,228,7%,5%,28,362,130,7,16%,1%,3.076916355,2.440268414,2.019559925,2.34840796,3.734116729,5.511424051,7.713311486,5.814406991,11.48350187,0%,0,25
S01009786,Crookston South,Glasgow City,934,589,191,3,1,1,1,122,313,197,365,5546,404,344,38%,354,24%,143,205,322,467,188,28%,12%,177,66%,5.05,220,6%,3%,72,775,252,29,27%,3%,2.075529595,1.835031153,1.361876947,2.194720149,4.925215472,3.908874539,6.165441329,5.149781931,11.25869418,0%,2,19
S01009787,Crookston South,Glasgow City,755,450,123,2,1,1,1,188,192,101,62,4129,1355,552,35%,267,26%,118,265,124,351,165,30%,10%,172,64%,4.34,230,6%,2%,32,426,220,8,25%,1%,2.763065167,1.992355825,2.621536909,3.453574879,5.043615917,4.767484277,5.656756055,6.785879469,12.45933103,0%,0,27
S01009788,Crookston North,Glasgow City,859,561,1697,25,5,3,2,1624,1648.5,1423,1562,4150,3599,1791,19%,160,14%,78,175,83,97,112,24%,8%,106,76%,5.04,189,3%,9%,16,187,114,23,14%,3%,2.455297119,1.759726891,2.321206483,3.382142857,5.273265306,2.5385,6.418865546,8.006668667,16.60012005,8%,1,8
S01009789,Crookston North,Glasgow City,867,562,995,15,3,2,1,997,1068,782,1425,4657,514,1410,24%,205,17%,95,185,192,337,128,29%,0%,111,76%,5.19,186,6%,8%,60,695,151,16,17%,2%,1.955287388,1.757167969,1.820708705,2.786847826,4.832466518,2.880838926,5.596135603,6.864715402,13.74871373,23%,1,9
S01009790,Crookston North,Glasgow City,612,406,1953,28,6,3,2,1791,1968,1880,1458,4044,5842,774,18%,108,13%,52,150,43,48,116,26%,0%,114,85%,4.79,191,7%,7%,4,66,135,12,21%,2%,2.780425278,2.133628776,2.252372814,2.224577465,5.599813196,3.548478261,6.284531002,6.855111288,16.57704293,5%,0,16
S01009791,Crookston North,Glasgow City,789,536,629,10,2,1,1,483,814,603,646,4813,1601,844,29%,230,19%,101,200,217,360,137,24%,8%,131,71%,5.03,208,8%,6%,30,382,142,8,21%,1%,2.545865964,2.161457078,1.613957078,2.01441048,5.418693524,3.982627551,6.066046687,4.791777108,16.13315889,1%,0,20
S01009792,Pollok South and West,Glasgow City,986,720,5114,74,15,8,4,4256,5205,4801,5039,2743,4902,3941,7%,69,4%,28,75,11,0,49,14%,6%,106,85%,5.96,83,2%,22%,11,112,78,12,8%,1%,4.498444676,1.860709812,3.137455637,2.995435484,6.129070981,4.165524194,8.707860125,10.74533403,14.99495825,0%,0,4
S01009793,Pollok South and West,Glasgow City,1342,867,5229,75,15,8,4,4509,4902,4026,5872,3666,5473,3017,6%,84,4%,38,80,93,54,84,18%,2%,74,93%,6.04,93,0%,17%,11,82,97,10,11%,1%,3.301389831,2.385353107,1.566449153,3.269829193,4.76480226,4.71801956,7.621519774,6.02620339,12.58631073,5%,0,2
S01009794,Pollok South and West,Glasgow City,522,365,6201,89,18,9,5,5735,6044,5421,6008,3116,4466,5929,3%,18,3%,10,55,72,94,34,14%,7%,65,92%,6.2,69,0%,13%,7,135,24,0,5%,0%,5.142388566,1.423512597,3.350227713,3.785979021,6.589113372,4.900855856,4.775620155,8.765164729,14.91121124,0%,0,2
S01009795,Pollok South and West,Glasgow City,865,603,6026,87,18,9,5,5378,5136,5811,5727,3739,6007,6060,4%,36,4%,24,55,36,18,30,13%,0%,68,87%,5.98,65,0%,22%,5,58,34,2,4%,0%,4.238527316,1.503559976,2.447749406,3.711717949,5.733441211,4.956472222,5.960748219,7.350985748,14.67299584,0%,0,1
S01009796,Pollok South and West,Glasgow City,744,460,4551,66,14,7,4,4448,4995.5,3892,4010,1419,6614.5,3437,6%,48,4%,19,95,53,21,73,17%,10%,80,85%,5.65,103,3%,15%,*,*,71,12,9%,2%,5.368590495,2.690478516,3.760934245,4.394152542,6.922796224,5.617905138,8.804166667,10.49739583,16.39493164,0%,0,1
S01009797,Pollok South and West,Glasgow City,782,550,4547,66,14,7,4,4195,4658,4082,3843,4050,1847,4457,7%,56,5%,27,90,39,18,91,15%,9%,81,85%,5.64,90,2%,9%,27,347,58,5,7%,1%,2.910637887,2.785840851,1.409288015,2.761163522,3.944494201,4.976418919,8.063614691,5.387055412,12.27244201,4%,0,12
S01009798,Pollok South and West,Glasgow City,696,501,5937,86,18,9,5,5515,6146,5362,4813,2888,4837,5644,4%,27,3%,13,60,44,42,77,12%,0%,71,89%,5.66,75,1%,13%,8,115,37,2,5%,0%,4.071672438,2.116367729,2.280249307,4.172948718,5.565695983,5.434708029,7.307354571,7.066565097,14.83880194,0%,0,4
S01009799,Pollok North and East,Glasgow City,742,500,150,3,1,1,1,91,310,74,546,4026,324,804,40%,294,24%,121,255,224,59,196,34%,7%,196,68%,4.95,222,4%,7%,62,840,188,4,23%,0%,3.424725825,1.582314269,2.413410967,3.848274112,5.847102005,4.182169118,5.442676887,7.459805425,16.85560142,0%,0,17
S01009800,Pollok North and East,Glasgow City,1002,668,1088,16,4,2,1,968,1227,658,1509,3438,3248,833,24%,240,16%,107,190,180,241,131,23%,5%,152,73%,5.35,164,7%,7%,21,211,234,18,21%,2%,4.167222222,2.633724029,1.193102981,3.760608974,6.743078139,4.688464567,7.761757001,4.365636856,18.65357724,0%,1,11
S01009801,Pollok North and East,Glasgow City,859,536,601,9,2,1,1,478,700,904,581,3504,1095,1814,29%,251,20%,104,205,85,77,103,25%,3%,124,68%,4.93,207,5%,6%,41,480,138,8,15%,1%,3.679149888,1.952304251,2.011222036,3.702460937,6.26283557,4.419790576,6.344848993,7.278965324,17.7323406,0%,0,15
S01009802,Pollok North and East,Glasgow City,1008,717,1065,16,4,2,1,819.5,1080,1006,1980,2809,1986,1561.5,25%,256,17%,121,185,156,290,117,23%,4%,118,76%,5.58,167,6%,8%,33,329,177,3,17%,0%,4.492666341,3.059662427,1.301125245,3.888281787,6.882084149,4.801936275,8.521599804,4.370009785,18.91597358,0%,0,19
S01009803,Pollok North and East,Glasgow City,745,437,579,9,2,1,1,421,664,399,1108,4455,2508,733,30%,223,20%,86,210,320,286,81,28%,13%,147,68%,5.34,194,5%,8%,20,270,170,21,21%,3%,3.235836454,2.297578027,2.016729089,2.1001222,5.750090512,3.821703163,7.219400749,5.525621099,15.24659176,0%,0,14
S01009804,Pollok North and East,Glasgow City,526,395,1598,23,5,3,2,2729,761,1893,4226,2203,449,1551,13%,67,19%,75,175,96,304,98,13%,0%,117,*,*,142,0%,9%,39,745,67,1,17%,0%,4.407172211,2.291154599,3.488312133,3.422027027,5.602255382,4.082735849,9.676751468,11.77849315,15.00382583,0%,0,6
S01009805,Pollok North and East,Glasgow City,939,594,708,11,3,2,1,579,908,954,522,3943,1178,1773,28%,262,18%,107,195,135,138,107,21%,5%,137,63%,4.83,193,3%,6%,43,460,144,14,15%,1%,4.057266112,2.128136694,2.402476611,2.058838028,6.247616944,4.526179487,6.943043139,5.839615385,13.91774168,0%,0,8
S01009806,Cardonald South and East,Glasgow City,869,443,1125,17,4,2,1,1217,1123,725,2479,5595,135,964,22%,188,17%,73,170,341,89,136,31%,8%,124,84%,5.08,130,4%,7%,102,1179,154,25,19%,3%,2.869913984,1.797183685,2.044672586,2.587631579,2.705288568,4.094176955,4.964683685,7.513221421,8.162993896,0%,1,6
S01009807,Cardonald South and East,Glasgow City,970,633,2635,38,8,4,2,2135,3001,2527,2168,4273,4870,1431.5,16%,151,9%,57,120,79,94,108,22%,7%,100,79%,5.19,157,3%,10%,11,114,155,31,15%,3%,2.989910714,2.615503472,3.061932044,2.883252427,2.759432044,4.163039568,6.781969246,11.19395089,10.81293155,0%,1,6
S01009808,Cardonald South and East,Glasgow City,584,386,2152,31,7,4,2,2203,2642,1813,1569,2831,4741,356,15%,89,10%,39,125,321,143,175,20%,11%,108,73%,5,177,0%,5%,7,120,217,51,24%,6%,3.600582789,3.205068083,3.62333878,2.76029703,3.37164488,3.951507353,8.399880174,11.60368192,12.66555011,1%,0,10
S01009809,Cardonald South and East,Glasgow City,692,455,1848,27,6,3,2,1908,1767,1527,2148,4503,1377,818,17%,117,14%,61,155,147,128,118,21%,7%,125,71%,5.47,127,3%,8%,29,421,124,33,18%,5%,2.980372263,2.605324818,3.05299635,2.752216495,2.75049635,4.263644068,6.090284672,10.82913504,10.69783212,0%,0,9
S01009810,Cardonald North,Glasgow City,886,591,593,9,2,1,1,418,538,729,992,5008,2282,752,30%,266,21%,124,185,266,259,130,23%,10%,136,73%,5.05,177,5%,4%,26,295,187,15,22%,2%,3.071283626,2.090994152,3.046429825,2.519894515,3.349900585,4.038259912,6.105137427,7.26205848,8.344368421,0%,2,7
S01009811,Cardonald North,Glasgow City,1058,689,816,12,3,2,1,730,856,614,926,5809,2288,781,26%,278,19%,125,195,206,133,115,29%,8%,131,73%,4.81,183,5%,6%,31,294,217,27,21%,3%,2.408450141,1.637530574,2.41471778,2.548073593,2.731354657,4.464583333,6.586789746,7.230870179,7.979927093,0%,4,8
S01009812,Cardonald North,Glasgow City,728,449,1325,19,4,2,1,1210,1232,709,1904,6617,1862,2777.5,22%,158,16%,72,190,199,216,105,27%,0%,131,75%,5.12,149,3%,8%,25,345,92,4,12%,1%,1.807100134,1.405658602,1.877006048,2.605305556,2.201075269,4.343064516,5.199163306,5.494640457,6.051686828,0%,2,6
S01009813,Cardonald North,Glasgow City,915,534,345,5,1,1,1,95,481,837,1142,4276,761,327,40%,362,22%,116,185,220,291,86,24%,6%,132,72%,5.32,207,5%,8%,52,571,214,22,28%,3%,3.230559168,1.61199935,1.936537711,2.595210843,3.000851756,4.678130252,8.264187256,9.108420026,10.00547464,12%,2,5
S01009814,Cardonald North,Glasgow City,814,534,3056,44,9,5,3,2724,3000,2064,3761,6169,2626,1229,13%,104,9%,49,125,150,195,111,22%,3%,112,83%,5.7,116,1%,12%,21,259,143,23,17%,3%,1.978142857,1.318279762,1.732785714,2.171043771,1.864735119,3.88916129,4.284166667,5.66164881,5.078145833,7%,2,16
S01009815,Cardonald West and Central,Glasgow City,642,438,1551,23,5,3,2,1591,1008,1289,3329,6482,1469,849,19%,121,17%,76,155,221,336,111,23%,3%,120,84%,5.48,127,2%,11%,26,407,149,12,21%,2%,2.099450704,1.871334507,2.171545775,1.539355828,1.935235915,3.28631068,4.896767606,9.094207746,7.836852113,0%,0,10
S01009816,Cardonald West and Central,Glasgow City,721,488,3423,50,10,5,3,2698,3823,3060,2303,6334,4912,1535,13%,93,7%,33,95,266,19,88,19%,3%,103,83%,5.38,116,6%,3%,8,111,98,27,14%,4%,1.871191489,2.376028369,1.942244681,1.131473684,1.735560284,3.35003876,7.166808511,8.76022695,6.523148936,0%,0,3
S01009817,Cardonald West and Central,Glasgow City,683,429,1646,24,5,3,2,1475,1270,1797,2704,3051,2748,2612,20%,135,16%,68,140,193,141,109,23%,11%,104,80%,5.65,143,1%,6%,17,250,80,13,12%,2%,3.542594203,3.467952899,3.744648551,4.130608856,4.686931159,2.687875,7.63915942,7.726913043,9.725275362,0%,1,7
S01009818,Cardonald West and Central,Glasgow City,910,503,5051,73,15,8,4,4052,4425,4511,4310,5914,5592,4616,8%,69,5%,27,70,41,21,70,19%,6%,74,78%,5.72,81,0%,15%,7,77,65,7,7%,1%,2.009905508,1.973037257,2.192772678,2.354084967,3.1537527,1.827588652,5.851163607,6.030485961,7.173293737,2%,0,10
S01009819,Cardonald West and Central,Glasgow City,704,388,2507,36,8,4,2,2366,2668,1430,3096,6568,1993,1784,14%,101,10%,39,145,221,77,122,24%,7%,125,84%,5.32,99,5%,9%,23,328,92,10,15%,2%,1.19564759,1.602692018,1.267560241,1.625409091,0.98625,3.159962687,4.172552711,4.951649096,2.819676205,2%,2,8
S01009820,Cardonald West and Central,Glasgow City,958,650,2500,36,8,4,2,2467,1967,2361,3825,6521,1166,1612,14%,133,13%,82,130,117,211,105,20%,0%,97,82%,5.63,96,1%,12%,44,461,149,17,16%,2%,1.419504175,2.166038622,1.449851253,2.750693215,2.081077766,3.092100977,6.786599687,5.504008351,7.050146138,0%,0,7
S01009821,Cardonald West and Central,Glasgow City,635,412,3650,53,11,6,3,3255,3636,3433,2800,5786,2229,3075.5,11%,67,7%,30,95,55,23,88,19%,10%,96,80%,5.41,92,10%,10%,19,301,67,12,10%,2%,1.26451284,1.481665408,1.337843656,2.573322368,1.670098187,3.556923077,4.59864426,4.111722054,4.705774169,35%,0,9
S01009822,Penilee,Glasgow City,461,295,2350,34,7,4,2,1828,2513,2357,3614,2515,3147,2650,17%,80,11%,31,125,139,58,130,20%,4%,104,83%,5.7,115,1%,9%,10,218,49,15,10%,3%,3.603679541,3.862218163,3.915412317,1.89655914,4.969958246,4.533300971,8.671263048,11.12543319,11.41692589,0%,0,7
S01009823,Penilee,Glasgow City,717,432,827,12,3,2,1,931,877,800,1102,1799,1545,1266,24%,174,18%,79,175,145,141,184,27%,18%,123,75%,4.95,202,4%,8%,28,392,125,8,18%,1%,3.367620192,3.790923764,4.104601648,2.424090909,5.21582761,4.765695652,11.11690247,13.36671703,13.8981044,0%,0,25
S01009824,Penilee,Glasgow City,939,581,1578,23,5,3,2,1264,1942,1595,1673,1942,5190,1493,21%,200,13%,74,155,169,76,131,19%,7%,125,76%,5.21,183,2%,7%,9,96,156,5,17%,1%,3.501892497,3.630156775,4.389944009,2.56458457,5.43156495,4.949173913,8.483034714,10.49991881,11.27517357,0%,0,11
S01009825,Penilee,Glasgow City,1026,689,979,15,3,2,1,1061,954,713,1289,3527,1878,858,23%,236,18%,121,195,152,413,139,25%,0%,121,76%,5.44,186,2%,2%,35,343,208,19,21%,2%,2.775762922,2.90305169,3.878252982,2.440555556,4.823687873,4.40325,6.541881213,8.941496024,9.322316103,0%,1,15
S01009826,Penilee,Glasgow City,602,358,1057,16,4,2,1,818,1157.5,1278,711,5602,2945,1490,25%,153,17%,59,190,90,28,82,22%,4%,131,69%,5.2,196,6%,4%,14,234,99,6,17%,1%,2.133427835,2.049914089,2.565532646,1.056136364,3.56790378,2.564319527,7.953745704,9.380068729,10.11697595,0%,0,18
S01009827,Penilee,Glasgow City,845,528,873,13,3,2,1,1113,935,739,729,2244,2756,900,22%,190,18%,94,185,226,150,116,26%,5%,138,73%,4.7,194,5%,5%,21,250,174,16,20%,2%,3.439953162,3.420319087,3.91860363,2.55679078,4.927262881,4.188514851,9.925392272,12.36166862,12.7056411,0%,0,18
S01009828,Penilee,Glasgow City,725,439,165,3,1,1,1,144,73,133,849,5620,2930,385,37%,267,31%,134,260,244,254,120,33%,8%,143,73%,4.61,204,7%,13%,17,236,193,32,25%,4%,2.246812256,1.89993807,2.493702738,1.945538922,3.474719687,2.831106195,7.218728814,8.701877445,9.342529335,0%,4,17
S01009829,Hillington,Glasgow City,906,619,953,14,3,2,1,1228,560,654,1751,4350,2355,1987,22%,195,21%,129,190,369,299,115,24%,5%,130,76%,5.1,131,5%,5%,26,288,127,24,13%,2%,1.979126163,1.820850569,2.976871768,2.198136273,3.606913133,3.612016667,7.147285419,9.863391934,10.42666753,15%,2,13
S01009830,Hillington,Glasgow City,764,499,1841,27,6,3,2,1410,2205,2249,1092,4558,3443,1488,20%,155,12%,58,145,90,37,100,22%,0%,104,75%,5,148,5%,2%,15,197,115,24,15%,3%,2.445746753,1.605090909,2.551925325,2.765731132,2.877357143,4.592052239,7.157584416,7.93025974,8.638837662,18%,0,15
S01009831,Hillington,Glasgow City,763,533,3425,50,10,5,3,3025,4500,2761,1358,6863,4780,1846,12%,88,5%,28,100,87,92,82,20%,17%,121,68%,5.2,133,7%,6%,9,119,118,8,15%,1%,2.067897946,0.762731065,2.198485237,2.14102381,2.540256739,3.923233533,2.491039795,6.866665597,7.27877086,0%,0,11
S01009832,Hillington,Glasgow City,967,601,3020,44,9,5,3,2577,3099,2666,3016,6695,1647,1978,13%,130,9%,53,120,120,49,102,20%,4%,99,79%,5.44,101,2%,8%,36,374,132,25,13%,2%,1.737709372,0.771507976,1.934346959,1.956893004,2.657497507,3.076058981,2.681161515,5.765152044,6.399077767,0%,3,12
S01009833,Drumoyne and Shieldhall,Glasgow City,525,336,1610,24,5,3,2,2648,2193,1339,1823,1717,9,1737,13%,69,12%,40,155,166,141,760,21%,7%,99,74%,4.93,129,2%,7%,216,4115,70,18,13%,3%,3.122896396,3.361400901,4.400657658,3.78175,4.76645045,4.426854305,9.941509009,11.50112613,12.31941892,7%,1,3
S01009834,Drumoyne and Shieldhall,Glasgow City,794,564,986,15,3,2,1,911,932,840,1651,3559,1546,1175,24%,194,18%,100,195,173,187,70,24%,5%,142,73%,5.41,186,1%,5%,31,392,159,10,19%,1%,2.057910226,2.761304994,3.090523187,3.247784553,4.449423306,2.328189655,10.12702735,8.608793103,13.64343044,1%,0,18
S01009835,Drumoyne and Shieldhall,Glasgow City,592,396,605,9,2,1,1,737,672,358,499,4420,2042,985,26%,155,20%,78,200,145,251,216,27%,3%,174,72%,5.57,252,5%,2%,19,322,100,13,19%,2%,1.834543726,2.700969582,2.75088403,3.100518868,4.8871673,2.13576,9.924610266,6.849481939,12.42710076,0%,0,12
S01009836,Drumoyne and Shieldhall,Glasgow City,931,616,2397,35,7,4,2,3036,2470,1295,2967,2308,3170,2098,11%,107,11%,66,155,54,113,178,24%,0%,140,82%,5.83,158,2%,9%,20,216,123,22,13%,2%,2.816045786,3.268165973,4.117513007,3.686351351,5.252289282,2.94347973,10.56612643,11.13914152,14.4474922,0%,0,2
S01009837,Drumoyne and Shieldhall,Glasgow City,671,416,677,10,2,1,1,780,669,142,1641,3449,3485,1672,26%,173,20%,82,225,299,161,171,35%,0%,171,81%,5.29,203,3%,6%,13,195,87,24,13%,4%,2.210711176,2.823069666,3.052808418,3.389310345,5.102695936,2.065833333,11.24792816,9.30887881,14.30487663,0%,2,14
